oocyte #1,oocyte #3,oocyte #4,pronuclear #3,pronuclear #4,pronuclear #2,zygote #1,zygote #2,2 cell #1,2 cell #5,2 cell #6,4 cell #1,4 cell #2,4 cell #3,4 cell #4,8 cell #3a,8 cell #6a,8 cell #7a,8 cell #1b,8 cell #2b,8 cell #3b,8 cell #4b,8 cell #5b,8 cell #3c,8 cell #5c,8 cell *,morula #1,morula #4,morula #5,
INPP5K,0.03,0.53,1.82,1.77,2.97,4.03,1.83,0.63,2.18,4.73,7.01,1.94,4.45,0.1,4.53,18.04,10.75,40.2,38.46,17.52,95.52,15.97,68.8,36.85,40.99,14.5,11.09,0.95,1.26
INTS2,0.03,1.1,0.68,0.19,0.02,0.03,0.42,0.07,0.2,3.29,0.95,0.57,0,0.1,0,0,3.75,0,0.03,5.46,0.35,0,0,0.38,0.03,0.14,0.17,6.64,2.89
ITGA2B,0.03,0,0,0.02,0.01,0.01,0,0,0,0,0,0,0,0.1,0,0,0,2.83,0.03,0,0,0,0,0,0.03,0,0.03,0.05,0.37
ITGA3,0.03,0,2.02,0.02,0.05,0.36,0.17,0.05,0.1,0.39,0.83,0.22,0.26,0.1,0,0,0.07,0,1.23,0,0,0.39,0.53,0.4,1.62,0,0.12,0.11,0
ITGAE,208.66,89.67,136.65,28.44,37.8,58.25,44.58,125.97,52.35,92.45,32.17,22.06,26.75,101.01,32.96,1.36,7.57,2.53,22.3,9.35,18.43,0.96,14.52,7.58,2.49,3.44,6.82,23.81,15.68
ITGB3,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.03,0,0,0,0,0,0.03,0,1.51,0,0.04
ITGB4,1.48,0,0.81,0.06,0.57,0.67,0.43,0.54,0.1,0.36,0,0.23,0.25,0.1,0.48,0,0.13,0,0.03,0,0,0,0,0,0.03,0.49,0,0,0
JMJD6,13.99,6.43,10.48,9.57,5.42,12.78,4.68,6.03,0.77,8.03,0.7,8.91,3.33,8.2,6.18,16.75,14.95,20.55,1.65,9.62,12.95,4.72,21.19,14.43,6.04,26.7,16.29,7.95,2.94
JUP,26.1,19.98,21.22,10.79,16.38,27.56,9.89,26.38,12.23,2.54,8.1,23.44,9.43,8.09,35.21,0.84,0.08,0,12.29,0.15,0,0,8.09,2.49,2.65,1.58,22.61,14.24,3.59
KAT2A,0.03,5.41,3.35,11.14,12.71,27.95,4.37,9.22,3.09,3.53,12.08,8.98,7.13,0.1,6.08,1.71,0.07,2.21,7.55,0,0,0,2.81,0.66,0.03,0.49,13.78,2.72,2.61
KCNH4,0.03,0,0,0,0.01,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.03,0,0,0,0,0,2.45,0,0,0,0
KCNJ12,0.03,0,0,0.27,1.72,0.23,0.1,1.8,0.46,1.1,1.49,0.3,0,0.1,0,0,0,0,0.03,0,0,0,0.43,0,0.03,0,0,0,0
KCNJ16,0.03,0,2.66,0,0.02,0.01,0.05,0,0,0,2.84,0.57,0,0.1,0.52,0.15,0,0,0.03,0,0,0,0,0,0.03,1.7,0,0,0
